"Hour 1"	16.203888442746706
"Hour 12"	15.674443398401305
"Hour 15"	16.535629057628235
"Hour 18"	15.95738175857677
"Hour 21"	16.169682236998238
"Hour 4"	18.605361944278176
"Hour 7"	14.750753078447747
"Hour 10"	15.610222704485839
"Hour 13"	16.214996511299194
"Hour 16"	17.805189024344568
"Hour 19"	15.742812257377105
"Hour 2"	16.27161947980165
"Hour 22"	16.884520665559236
"Hour 5"	20.061673373150686
"Hour 8"	14.817895492265631
"Hour 0"	16.911903083018164
"Hour 11"	15.571164563371068
"Hour 14"	16.640617713549744
"Hour 17"	16.936309053445285
"Hour 20"	15.731142849512034
"Hour 23"	17.132916659577603
"Hour 3"	16.243783546659927
"Hour 6"	15.937381146003377
"Hour 9"	15.226427545777398
